,precision,recall,f1-score,support
clarinet,0.5779816513761468,0.4117647058823529,0.48091603053435117,153.0
clock,0.8,0.8258064516129032,0.8126984126984127,155.0
cloud,0.6645161290322581,0.7103448275862069,0.6866666666666666,145.0
coffee cup,0.7345132743362832,0.503030303030303,0.5971223021582733,165.0
compass,0.6956521739130435,0.7832167832167832,0.7368421052631579,143.0
computer,0.7904761904761904,0.6484375,0.7124463519313304,128.0
cookie,0.7876712328767124,0.7666666666666667,0.777027027027027,150.0
cooler,0.5581395348837209,0.3137254901960784,0.401673640167364,153.0
couch,0.7777777777777778,0.7777777777777778,0.7777777777777778,144.0
cow,0.5212765957446809,0.7368421052631579,0.6105919003115264,133.0
crab,0.7222222222222222,0.7323943661971831,0.7272727272727273,142.0
crayon,0.49019607843137253,0.37037037037037035,0.4219409282700422,135.0
crocodile,0.6858974358974359,0.6645962732919255,0.6750788643533123,161.0
crown,0.9041095890410958,0.8918918918918919,0.8979591836734694,148.0
cruise ship,0.7424242424242424,0.7,0.7205882352941176,140.0
cup,0.6185567010309279,0.40540540540540543,0.4897959183673469,148.0
diamond,0.7679558011049724,0.9266666666666666,0.8398791540785498,150.0
dishwasher,0.5266666666666666,0.5939849624060151,0.558303886925795,133.0
diving board,0.7017543859649122,0.5369127516778524,0.6083650190114068,149.0
dog,0.5357142857142857,0.40268456375838924,0.45977011494252873,149.0
dolphin,0.676056338028169,0.7164179104477612,0.6956521739130435,134.0
donut,0.7567567567567568,0.8484848484848485,0.8,132.0
door,0.8527131782945736,0.7284768211920529,0.7857142857142857,151.0
dragon,0.41975308641975306,0.4788732394366197,0.4473684210526316,142.0
dresser,0.689922480620155,0.6357142857142857,0.6617100371747212,140.0
drill,0.8761904761904762,0.6814814814814815,0.7666666666666667,135.0
drums,0.8,0.7837837837837838,0.7918088737201365,148.0
duck,0.577639751552795,0.6118421052631579,0.5942492012779552,152.0
dumbbell,0.8246753246753247,0.8246753246753247,0.8246753246753247,154.0
ear,0.8235294117647058,0.8860759493670886,0.8536585365853658,158.0
elbow,0.6838235294117647,0.636986301369863,0.6595744680851063,146.0
elephant,0.7337662337662337,0.6932515337423313,0.7129337539432177,163.0
envelope,0.8333333333333334,0.9507042253521126,0.8881578947368421,142.0
eraser,0.6717557251908397,0.5906040268456376,0.6285714285714286,149.0
eye,0.861271676300578,0.9141104294478528,0.8869047619047619,163.0
